Num,Timestamp,Current_J1,Temperature_J1,Speed_J1,Tool_current,cycle ,Robot_ProtectiveStop,grip_lost
1,2022-10-26T08:17:21.847Z,-2.02466869354248,29.375,-0.000489755475427955,0.0827318429946899,1,0.0,False
2,2022-10-26T08:17:22.852Z,-2.27845644950866,29.3125,-0.000303650216665118,0.50589495897293,1,0.0,False
3,2022-10-26T08:17:23.857Z,-2.80040836334228,29.3125,0.00779462233185768,0.0794200301170349,1,0.0,False
4,2022-10-26T08:17:24.863Z,-3.68776774406433,29.3125,-0.00491136731579899,0.0833253860473632,1,0.0,False
5,2022-10-26T08:17:25.877Z,-2.93883037567138,29.375,0.00556694203987717,0.0863787531852722,1,0.0,False
6,2022-10-26T08:17:26.885Z,-2.16254186630249,29.375,9.26570428418926e-05,0.188309669494628,1,0.0,False
7,2022-10-26T08:17:27.901Z,-1.7576470375061,29.375,0.0,0.0851918458938598,1,0.0,False
8,2022-10-26T08:17:28.903Z,-1.83646476268768,29.375,0.0,0.0870583653450012,1,0.0,False
9,2022-10-26T08:17:29.905Z,-2.56373834609985,29.375,0.00240865373052656,0.0857853293418884,1,0.0,False
10,2022-10-26T08:17:30.909Z,-1.75077736377716,29.375,0.0049957507289946,0.0850195884704589,1,0.0,False
11,2022-10-26T08:17:31.909Z,-1.87529575824737,29.375,-0.00655909907072782,0.0788266062736511,1,0.0,False
12,2022-10-26T08:17:32.924Z,-3.17460227012634,29.375,-0.0301450155675411,0.093337595462799,1,0.0,False
13,2022-10-26T08:17:33.929Z,-1.72417414188385,29.375,0.145653635263443,0.0826457738876342,1,0.0,False
14,2022-10-26T08:17:34.936Z,-2.02362823486328,29.4375,0.0,0.0831531286239624,1,0.0,False
15,2022-10-26T08:17:35.950Z,-1.75552642345428,29.375,-0.0368991009891033,0.0869722962379455,1,0.0,False
16,2022-10-26T08:17:36.954Z,-1.67521357536315,29.375,0.0,0.087651789188385,1,0.0,False
17,2022-10-26T08:17:37.954Z,-1.60693621635437,29.4375,0.0017609876813367,0.172946810722351,1,0.0,False
18,2022-10-26T08:17:38.964Z,-4.540940284729,29.4375,-0.00741931470111012,0.0864649415016174,1,0.0,False
19,2022-10-26T08:17:39.964Z,-2.89270639419555,29.4375,0.00712660746648907,0.083918809890747,1,0.0,False
20,2022-10-26T08:17:40.967Z,-2.96066641807556,29.4375,0.0094801876693964,0.083239197731018,1,1.0,False
21,2022-10-26T08:17:41.975Z,-1.92220163345336,29.4375,0.0,0.083918809890747,1,1.0,False
22,2022-10-26T08:17:42.989Z,-2.05655264854431,29.4375,3.86979372157814e-11,0.0966494679450988,1,1.0,False
23,2022-10-26T08:17:43.990Z,-2.10252428054809,29.4375,0.0,0.0851057171821594,1,1.0,False
24,2022-10-26T08:17:45.005Z,-2.09583115577697,29.4375,0.0,0.0908775925636291,1,1.0,False
25,2022-10-26T08:17:46.006Z,-2.08482122421264,29.4375,0.0,0.0875657200813293,1,0.0,False
26,2022-10-26T08:17:47.011Z,-2.08642959594726,29.4375,0.0,0.083918809890747,1,0.0,False
27,2022-10-26T08:17:48.015Z,-2.08828687667846,29.5,0.0,0.0826457738876342,1,0.0,False
28,2022-10-26T08:17:49.021Z,-2.08002924919128,29.4375,0.0,0.0845122933387756,1,0.0,False
29,2022-10-26T08:17:50.024Z,-2.07472729682922,29.5,0.0,0.0864649415016174,1,0.0,False
30,2022-10-26T08:17:51.027Z,-2.07731986045837,29.5,0.0,0.0863787531852722,1,0.0,False
31,2022-10-26T08:17:52.031Z,-1.93108677864074,29.5,0.00143676018342375,0.0826457738876342,1,1.0,False
32,2022-10-26T08:17:53.036Z,-1.82972979545593,29.4375,0.0,0.088331401348114,1,1.0,False
33,2022-10-26T08:17:54.050Z,-1.9551842212677,29.5,0.0,0.0915572047233581,1,1.0,False
34,2022-10-26T08:17:55.055Z,-2.00687599182128,29.5,0.0,0.0878241062164306,1,0.0,False
35,2022-10-26T08:17:56.057Z,-1.64106082916259,29.5,0.00069745018845424,0.0896044969558715,1,0.0,False
